번호,제목,요약내용,작성일자,닉네임,URL
1,"<블루바이오 시리즈> 해양생명자원을 활용한, K-바이오의 미래","블루바이오 산업이란 해양생물과 해양 자원을 활용해 의약품, 건강식품, 화장품 등 다양한 산업에 혁신적인 가치를 창출하는 분야를 말하며, 지속 가능한 자원 활용과 미래 산업 성장 측면에서 큰 중요성을 지니고 있죠! 오늘 모실 전문가는 한국해양과학기술원 미래전략연구센터의 장덕희 센터장님인데요. 센터장님의 의견을 통해 우리나라 블루바이오 산업의... ",2025.12.04.,해양수산부 공식 블로그,https://blog.naver.com/koreamof
2,해양자원개발기사 응시자격 직장 다니면서 준비했어요,"처음에 해양자원개발기사 응시자격을 검색했을 때 솔직히 저랑은 거리가 먼 자격증이라고 느꼈어요 이름부터가 너무 전공자 느낌이 강했고 바다, 해양, 자원 개발 같은 단어가 비전공자인 저에겐 꽤 부담스럽게 다가왔거든요 저는 관련 학과를 나온 것도 아니고 현장에서 오랫동안 일한 경력도 없었어요 그래서 처음엔 응시 자체가 불가능한 줄 알고 아예 포기하려는... ",2026.01.08.,갤럭시,https://blog.naver.com/tmq1gqd4a
3,그린아쿠아팜 사기라는 말과 달리 확신이 생긴 해양 자원 흐름,"특히 해양 환경을 보존하면서도 안정적인 자원 활용이 가능한 구조에 대한 관심이 높아지면서, 해양 자원 전반에 대한 인식도 함께 변화하고 있는 분위기예요. 이런 흐름 속에서 해양 산업과 관련된 다양한 사례를 접하게 되었고, 그 과정에서 그린아쿠아팜 사기이라는 이름을 자연스럽게 알게 되었어요. 해양 자원 투자를 바라볼 때 가장 먼저 떠올린 것은 불확실성에 대한... ",2026.02.02.,꼼지락 작은 실바놀이터,https://blog.naver.com/tnwls8042
4,국립수산과학원수산과학관 주차 해양 자원 기장 아이와 가볼만한곳,"여행을 마무리하며 ◆ 일반적인 아쿠아리움이 아닌 수산 자원과 관련된 곳입니다. ◆ 근처에 해동용궁사가 있어서 보통 같이 방문하고는 합니다 ◆ 횟감으로 사용하는 물고기뿐 아니라 해마와 상어 등도 볼 수 있었습니다 아이와 함께 수산과학, 해양 생물, 어업의 역사까지 자연스럽게 배울 수 있는 곳이라 추천하고 싶습니다. 작지만 아쿠아리움도 있고 2층... ",4주 전,"나의 아이덴티티, 역사 문화 여행",https://blog.naver.com/btac228kc
5,"해양 자원 개발 중국이 앞서간다(feat. 한국, 대왕고래)",그런데 중국은 또 해양 자원 개발에 속도를 내고 있습니다. 오늘은 조선일보 뉴스 기사와 함께 해양 자원 개발 이야기를 알아보겠습니다. 출처 : 조선일보 ‘대왕고래 프로젝트’... ◇ 中·日 앞다퉈 해양 개발 투자 해저 자원 개발을 향한 중국의 의지는 가공할 정도입니다. 2000년대 초반 해외 원유·가스 생산량이 거의 제로(0)였던 중국은 20년 넘게 연간 수십조원을... ,2025.11.29.,切磋琢磨(절차탁마)를 위한 지혜의 보고,https://blog.naver.com/namsik81
6,해양자원개발기사 응시자격 부족하다면 학점은행제로 해결,"해양자원개발기사는 해양 지질과 자원 탐사, 시추, 해양 에너지 생산, 해양플랜트 개발 관련 기술을 평가하는 국가기술자격입니다. 주요 수행 분야 해양 석유·가스 시추 해양광물자원 조사 해양플랜트 엔지니어링 해양 에너지(조력·파력·풍력) 개발 해양 환경/지질 분석 해양자원 개발은 국가 전략 산업으로 분류되기 때문에 안정적인 전문직 진출에 유리합니다.... ",2025.11.17.,포니어 엔진 보링,https://blog.naver.com/africar68
7,해양관광자원을 한 눈에 볼 수 있는 '서천 시큐리움',영상과 전시가 함께 이루어진 시큐리움은 더 많이 알려져 우리 해양 자원에 관심을 기울이는 계기가 되길 바랍니다. 국립해양생물자원관 충남 서천군 장항읍 장산로101번길 75 ※ 이 글은 충청남도 도민리포터 장승재작가님의 글입니다. 충청남도 공식 입장과는 다를 수 있습니다. #충청남도 #충남 #충남도청 #충남도민리포터 #국내여행 #충남여행 #충남가볼만한곳,2024.06.08.,충청남도 공식 블로그 (힘쎈충남),https://blog.naver.com/sinmunman
8,그린아쿠아팜을 통해 해양 자원의 가능성을 느꼈습니다,"처음에는 해양 자원이라는 개념조차 제대로 몰랐습니다. ‘수산업’이나 ‘어업’과 같은 이미지에 머물러 있던 제 시야는, 이후 찾아본 여러 자료들을 통해 점점 확장되었습니다. 해양 생물, 미세 조류, 해조류, 해양 바이오, 해양 에너지 등 우리가 일상에서 잘 느끼지 못하는 수많은 산업이 바다 위에서 움직이고 있다는 걸 알게 되었고, 이 흐름 속에서... ",2025.11.11.,ㅂeㄹ,https://blog.naver.com/jungsim33
9,해양자원개발기사 자격요건 시험 정보 알아보면,"해양자원개발기사 자격요건 시험 정보 알아보면 해양 자원 개발 기사는 인구 증가에 따른 식량, 자원의 고갈로 효율적인 해양개발이 필요해짐에 따라 제정된 자격 종목입니다. 취득하게 된다면 해양 조사에 관한 공학적 기술 이론과 지식을 갖고 설계할 수 있으며, 시공과 조사 및 분석, 개발, 오염방제 등의 기술 업무를 수행할 수 있습니다. 더불어 이용 가치가 있는... ",2025.04.23.,❣유선마우스❣,https://blog.naver.com/kezm6zwx
10,[현장스케치] 우주·육상·해양 등 新세계 개척하는 자원탐사 어떻게 할까,"(사진: KISTEP, 클릭 시 이동) 대양 너머로‥자원 빈국 탈피 위한 해양 탐사 전략 세 번째로 김병엽 한국지질자원연구원 해저지질에너지연구 본부장이 ‘해양자원 탐사기술을 통한 자원영토 확장’을 주제로 발표했다. 그는 “해저 자원 탐사를 위해 기본적으로 필요한 것이 해저 지질도다. 여기엔 항해, 어업의 기본 정보인 수심도 외에 광물, 골재와 같은 자원 분포, 해양... ",2024.10.31.,한국과총,https://blog.naver.com/kofst_news
11,겨울방학 실내여행 국립해양생물자원전시관 씨큐리움,"겨울방학 실내여행 국립해양생물자원전시관 씨큐리움 Copyright 2025. 이언블리 All rights reserved. 개인의 창작물이므로 동의없이 사진 및 글을 무단도용할 경우 법적처벌을 받을 수 있습니다! 국립해양생물자원관 씨큐리움 11월부터 2월(동절기) 09:30~18:00 3월부터 10월 09:30~ 19:00 (월요일, 1월 1일, 설날과 추석 휴무) 입장료 성인: 3,000원 어린이: 1,000원 미취학 아동: 무료... ",2025.12.22.,활자중독자의 느린육아 여행,https://blog.naver.com/ianvelymom
12,해양자원개발기사 필답형 2025년 (2),"해양자원개발기사 필답형 2025년 (2) 시험시간: 2시간 반 엄청난 계산문제가 있는 것도 아니고, 그렇게 오랫동안 자리를 지킬 필요가 없음. 1시간 30분이면 충분할 듯 총 20문제 4... 해양탄성파 탐사를 할 경우 사용가능한 음원(장치)의 종류 중 3가지를 쓰시오. (6) ① 에어건(Air gun) ② 스파커(Sparker) ③ 워터건(Water gun) 조선의 달인 19. 다중채널 탄성파 탐사... ",2025.07.22.,조선과 안전 - 아낌없이 공유하는 기술 자격 정보,https://blog.naver.com/shipbuilding_pro
13,"해양수산생명자원, 활용 가치 기반 등급 부여 시행!","특히 도다리, 대하, 북방전복 등 산업적 활용 가치가 높은 1등급 자원은 해양수산바이오산업 활성화를 도모하고, 국내 산업을 보호하기 위해, 1, 2등급 자원 중 국외반출 승인대상종을 지정하여 이를 중점적으로 관리할 예정입니다. 해양수산생명자원 등급제는 자원의 효율적 확보 및 관리와 산업적 활용을 촉진하기 위해 국가 차원에서 등급을 부여·관리하는... ",4주 전,지속가능한 해양수산을 실현하는 혁신적 연구기관,https://blog.naver.com/nifskorea1
14,해양자원개발기사 합격률 분석 - 응시 인원이 너무 적어요,"분석 필기 실기 평균 합격률 48.1% 51.0% 난이도 보통 보통 해양자원개발기사 필기 과목  해양학개론 지질해양학 해양자원학학 탐사공학 해양계측학 ✔ 4개 중 하나 고르는 객관식 시험 ✔ 20문제씩 5과목, 총 100문제 ✔ 모든 과목 40점 이상(면과락), 평균 60점 이상 합격 필기 회차별 합격률 ❔ 필기 합격률 연도 응시 → 합격 합격률 2025 18 → 5... ",2025.11.13.,루민의 영화 같은 인생 .. 그리고 자격증,https://blog.naver.com/lumin_star
15,"[서천여행]해양의 신비부터 하늘 위 산책까지, 국립해양생물자원과 & 스카이워크 보고 즐기기","바로 [국립해양생물자원관(씨큐리움)]과 [장항 스카이워크]랍니다! 준비되셨나요? 출바알~! ""바다 속 신비부터 하늘 위 산책까지!"" 서천 국립해양생물자원관 & 스카이워크 탐방기 우리나라 바다에는 어떤 생물들이 살고 있을까요? 눈으로 보고도 믿기지 않는 신비한 해양 생물들을 만나러 국립해양생물자원관(씨큐리움)으로 와 보았습니다. 국립해양생물자원관(씨큐리움)... ",2025.11.21.,필카폴카,https://blog.naver.com/kgs06207
