번호,제목,저자,소속(발행)기관
1,해양관광유형과 관광자원 가치가 주민참여의도에 미치는 영향 : 당진시를 중심으로,이길호,경기대학교 관광전문대학원
2,해양경계획정 이전 권원중첩수역에서의 자원개발과 환경보호,이영주,연세대학교 대학원
3,국가관할권 이원지역 해양유전자원의 접근 및 이익공유에 관한 연구,조은영,중앙대학교 대학원
4,島嶼觀光資源開發이 海洋觀光産業에 미치는 經濟的 波及效果,김두성,부산대학교
5,해양관광 자원 개발에 대한 연구 : 중국 칭다오와 부산을 중심으로,장잉잉,경기대학교 대학원
6,지속가능한 해양관광 발전방안에 대한 연구 : 관광자원개발을 중심으로,김선종,연세대학교 행정대학원
7,여수지역 해양생물자원을 활용한 관광지 활성화에 관한 연구,권진구,전남대학교 대학원
8,海洋觀光資源開發에 관한 硏究 : 邊山半島를 中心으로,박명엽,경기대학교 대학원
9,국가관할권이원지역 해양생물자원의 이용과 규율 : UN해양법협약 원칙의 확장적 적용가능성을 중심으로,서진웅,성균관대학교
10,GIS기반 해양광물자원정보시스템 개발에 관한 연구,김동일,인하대학교 대학원
11,전남 서남부 해양역사자원의 현황과 활용방안 : 전근대 지정문화재를 중심으로,이윤원,목포대학교 대학원
12,韓·中의 海洋觀光資源 開發에 관한 연구 : 釜山 靑島를 中心으로,왕염,동신대학교 대학원
13,해양관광자원의 경제적 가치평가 : 중국 대련시 부가장해수욕장을 사례로,류환칭,강원대학교
14,해양관광자원을 활용한 제주 신양항 리모델링 계획,김예림,서울대학교 환경대학원
15,해양생명자원 정책 수립을 위한 우선순위평가 연구,이창수,경상국립대학교 대학원
16,해양관광자원의 비시장가치 추정에 관한 연구,박미옥,동명대학교 대학원
17,海洋資源開發에 관한 硏究 : 深海底 鑛物資源을 中心으로,김대정,國防大學院
18,군산 오식군도의 신석기-청동기시대 해양자원 이용 연구,신숙현,원광대학교 일반대학원
19,생물다양성협약 이행을 위한 학교 안 교육과 학교 밖 교육 분석 : 2015 개정 과학과 교육과정과 국립해양생물자원관 사례를 중심으로,이난영,이화여자대학교 대학원
20,해양자원을 이용한 두부응고제 개발 연구 : 해양부산물을 이용한 천연두부응고제 개발,오현의,세종대학교 대학원
21,해양광물자원 개발을 위한 남태평양 지역기구와의 협력방안에 대한 연구 : 특히 SOPAC과의 협력을 중심으로,허민경,서울대학교 행정대학원
22,"보령 해양관광자원 구성요소가 관광만족, 지역애착, 개발지지에 미치는 영향 연구 : 지역주민, 출향민, 관광객 중심으로",김흥식,경기대학교 관광전문대학원
23,新海洋法 秩序下에서의 漢·中 漁業關係에 關한 硏究 : 紛爭解決과 海洋資源 管理를 中心으로,정복철,서울大學校 行政大學院
24,해양자원이송용 강관의 다양한 하중에 대한 거동 분석,권판기,호서대학교 대학원
25,연안 개발사업으로 인한 부유사가 해양생물자원에 미치는 영향,이진석,한국해양대학교 대학원
